cohort_id,threshold_name,audit,rate,clean_mean,clean_sd,attacked_mean,shift,standardised_shift,conventional_flag_threshold,shift_as_fraction_of_conventional_threshold
mimic_race_unmatched,t0.5,FNR,0.005,0.11565032574966347,0.009178453809351917,0.12413802711815952,0.008487701368496053,0.9247419603340972,0.1,0.08487701368496053
mimic_race_unmatched,t0.5,FNR,0.01,0.11565032574966347,0.009178453809351917,0.11684322777038007,0.0011929020207166047,0.12996764438702715,0.1,0.011929020207166047
mimic_race_unmatched,t0.5,FNR,0.02,0.11565032574966347,0.009178453809351917,0.1099213178683377,-0.0057290078813257705,-0.6241800634752327,0.1,-0.057290078813257705
mimic_race_unmatched,t0.5,FNR,0.05,0.11565032574966347,0.009178453809351917,0.12157969409625036,0.0059293683465868885,0.6460094989578159,0.1,0.059293683465868885
mimic_race_unmatched,t0.5,FNR,0.1,0.11565032574966347,0.009178453809351917,0.1324764251916569,0.016826099441993425,1.8332172053695286,0.1,0.16826099441993425
mimic_race_unmatched,t0.5,FNR,0.25,0.11565032574966347,0.009178453809351917,0.16908194126737172,0.05343161551770825,5.821417923710292,0.1,0.5343161551770825
mimic_race_unmatched,t0.5,FNR,0.5,0.11565032574966347,0.009178453809351917,0.21671160623244767,0.1010612804827842,11.010708620640763,0.1,1.010612804827842
mimic_race_unmatched,t0.5,FNR,0.6,0.11565032574966347,0.009178453809351917,0.2469028376313144,0.13125251188165094,14.300067811848429,0.1,1.3125251188165092
mimic_race_unmatched,t0.5,FNR,0.65,0.11565032574966347,0.009178453809351917,0.26719474368480983,0.15154441793514636,16.510887463500435,0.1,1.5154441793514635
mimic_race_unmatched,t0.5,FNR,0.75,0.11565032574966347,0.009178453809351917,0.2814378966696847,0.16578757092002125,18.062690553729265,0.1,1.6578757092002123
