subset,threshold_name,threshold_value,rate,seed,n,proxy_fnr_high,proxy_fnr_low,true_fnr_black,true_fnr_white,tercile_lo_thr,tercile_hi_thr,proxy_gap,true_gap,proxy_transfer_effect,true_transfer_effect,proxy_highstratum_asr,true_highstratum_asr
full_test,sens0.80,0.3330078125,0.0,42,33016,0.26833403984739296,0.17213816728518413,0.2972972972972973,0.18950585838003056,1.3232231140136719e-05,0.0009002685546875,0.09619587256220882,0.10779143891726675,,,,
full_test,sens0.80,0.3330078125,0.5,42,33016,0.29715981348028825,0.16243220097059663,0.33436293436293435,0.18555781966377993,1.3232231140136719e-05,0.0009002685546875,0.13472761250969162,0.14880511469915442,0.038531739947482796,0.041013675781887665,0.02882577363289529,0.037065637065637036
full_test,sens0.80,0.3330078125,0.75,42,33016,0.37346333192030523,0.1704253497002569,0.4548262548262548,0.20071319409067753,1.3232231140136719e-05,0.0009002685546875,0.20303798222004832,0.25411306073557727,0.1068421096578395,0.14632162181831052,0.10512929207291227,0.15752895752895751
full_test,sens0.80,0.3330078125,1.0,42,33016,0.5019075879610004,0.2138167285184128,0.6061776061776062,0.2619714722363729,1.3232231140136719e-05,0.0009002685546875,0.2880908594425876,0.3442061339412333,0.1918949868803788,0.23641469502396653,0.23357354811360748,0.3088803088803089
full_test,sens0.80,0.32861328125,0.0,123,33016,0.2738448495125053,0.17556380245503853,0.29034749034749036,0.19905756495160468,1.3232231140136719e-05,0.0009002685546875,0.09828104705746679,0.09128992539588568,,,,
full_test,sens0.80,0.32861328125,0.5,123,33016,0.4323866044934294,0.2383671139023694,0.4988416988416988,0.2761079979623026,1.3232231140136719e-05,0.0009002685546875,0.19401949059106002,0.2227337008793962,0.09573844353359323,0.13144377548351052,0.1585417549809241,0.20849420849420847
full_test,sens0.80,0.32861328125,0.75,123,33016,0.34887664264518864,0.15072794747359405,0.43166023166023165,0.17957208354559348,1.3232231140136719e-05,0.0009002685546875,0.19814869517159459,0.2520881481146382,0.0998676481141278,0.16079822271875252,0.07503179313268332,0.1413127413127413
full_test,sens0.80,0.32861328125,1.0,123,33016,0.4378974141585418,0.17156722809020838,0.555984555984556,0.20287824758023434,1.3232231140136719e-05,0.0009002685546875,0.26633018606833336,0.35310630840432167,0.16804913901086657,0.261816383008436,0.16405256464603646,0.26563706563706563
full_test,sens0.80,0.286865234375,0.0,7,33016,0.25180161085205593,0.17185269768769626,0.27876447876447874,0.19103413143148243,1.3232231140136719e-05,0.0009002685546875,0.07994891316435968,0.08773034733299631,,,,
full_test,sens0.80,0.286865234375,0.5,7,33016,0.31835523526918186,0.17099628889523266,0.36602316602316604,0.20020376974019358,1.3232231140136719e-05,0.0009002685546875,0.1473589463739492,0.16581939628297246,0.06741003320958952,0.07808904894997615,0.06655362441712592,0.0872586872586873
full_test,sens0.80,0.286865234375,0.75,7,33016,0.3921153030945316,0.1872680559520411,0.4756756756756757,0.2162506367804381,1.3232231140136719e-05,0.0009002685546875,0.20484724714249047,0.2594250388952376,0.1248983339781308,0.1716946915622413,0.14031369224247564,0.19691119691119696
full_test,sens0.80,0.286865234375,1.0,7,33016,0.4251801610852056,0.21238938053097345,0.532046332046332,0.2306418746816098,1.3232231140136719e-05,0.0009002685546875,0.21279078055423217,0.3014044573647222,0.1328418673898725,0.2136741100317259,0.1733785502331497,0.25328185328185326
